;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
              |add l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
86            |add (hl)    |~           |     |   |   |    |   |    
              |add a, (hl) |            |     |   |   |    |   |    
              |add m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
86; 23        |add (hl+)   |~           |     |   |   |    |   |    
              |add a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
86; 2B        |add (hl-)   |~           |     |   |   |    |   |    
              |add a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
87            |add a       |~           |     |   |   |    |   |    
              |add a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
88            |adc a, b    |~           |     |   |   |    |   |    
              |adc b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
89            |adc a, c    |~           |     |   |   |    |   |    
              |adc c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8A            |adc a, d    |~           |     |   |   |    |   |    
              |adc d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8B            |adc a, e    |~           |     |   |   |    |   |    
              |adc e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8C            |adc a, h    |~           |     |   |   |    |   |    
              |adc h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8D            |adc a, l    |~           |     |   |   |    |   |    
              |adc l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8E            |adc (hl)    |~           |     |   |   |    |   |    
              |adc a, (hl) |            |     |   |   |    |   |    
              |adc m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8E; 23        |adc (hl+)   |~           |     |   |   |    |   |    
              |adc a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8E; 2B        |adc (hl-)   |~           |     |   |   |    |   |    
              |adc a, (hl-)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
8F            |adc a       |~           |     |   |   |    |   |    
              |adc a, a    |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
90            |sub a, b    |~           |     |   |   |    |   |    
              |sub b       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
91            |sub a, c    |~           |     |   |   |    |   |    
              |sub c       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
92            |sub a, d    |~           |     |   |   |    |   |    
              |sub d       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
93            |sub a, e    |~           |     |   |   |    |   |    
              |sub e       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
94            |sub a, h    |~           |     |   |   |    |   |    
              |sub h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
95            |sub a, l    |~           |     |   |   |    |   |    
              |sub l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
96            |sub (hl)    |~           |     |   |   |    |   |    
              |sub a, (hl) |            |     |   |   |    |   |    
              |sub m       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
96; 23        |sub (hl+)   |~           |     |   |   |    |   |    
              |sub a, (hl+)|            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
